id,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,Y
4556,0.339,0.358,0.993,0.147,0.311,0.422,0.086,0.508,0.817,0.960,13.731
4557,0.807,0.537,0.486,0.575,0.133,0.287,0.453,0.547,0.055,0.377,16.147
4558,0.991,0.654,0.457,0.929,0.017,0.095,0.140,0.485,0.470,0.238,19.423
4559,0.808,0.043,0.927,0.917,0.842,0.337,0.986,0.624,0.591,0.925,16.921
4560,0.969,0.412,0.298,0.064,0.078,0.973,0.480,0.431,0.169,0.795,10.944
4561,0.346,0.685,0.043,0.036,0.183,0.494,0.916,0.002,0.510,0.327,11.705
4562,0.630,0.116,0.691,0.824,0.110,0.563,0.110,0.165,0.541,0.543,11.515
4563,0.123,0.991,0.835,0.710,0.192,0.183,0.837,0.293,0.223,0.239,13.698
4564,0.958,0.428,0.666,0.474,0.517,0.444,0.361,0.203,0.540,0.526,15.423
4565,0.150,0.741,0.667,0.708,0.425,0.432,0.183,0.575,0.757,0.726,12.992
4566,0.499,0.578,0.551,0.030,0.462,0.631,0.426,0.772,0.457,0.500,9.450
4567,0.536,0.718,0.212,0.128,0.130,0.640,0.967,0.253,0.346,0.976,13.035
4568,0.606,0.716,0.279,0.389,0.554,0.096,0.639,0.762,0.752,0.587,17.290
4569,0.297,0.488,0.671,0.508,0.801,0.023,0.263,0.597,0.070,0.029,13.016
4570,0.597,0.114,0.558,0.920,0.123,0.663,0.188,0.339,0.080,0.746,11.890
4571,0.454,0.880,0.312,0.495,0.069,0.826,0.552,0.689,0.124,0.623,16.149
4572,0.782,0.244,0.875,0.301,0.073,0.530,0.030,0.566,0.284,0.496,11.063
4573,0.625,0.755,0.395,0.361,0.614,0.960,0.936,0.027,0.809,0.415,16.620
4574,0.800,0.354,0.450,0.089,0.850,0.603,0.190,0.486,0.975,0.646,11.941
4575,0.153,0.954,0.977,0.240,0.837,0.907,0.936,0.393,0.516,0.113,16.272
4576,0.706,0.828,0.491,0.679,0.018,0.098,0.844,0.299,0.178,0.490,15.866
4577,0.985,0.054,0.880,0.432,0.121,0.244,0.867,0.068,0.819,0.601,9.963
4578,0.021,0.094,0.624,0.654,0.219,0.503,1.000,0.624,0.379,0.774,8.760
4579,0.135,0.750,0.710,0.646,0.673,0.482,0.898,0.029,0.440,0.240,13.320
4580,0.132,0.983,0.585,0.775,0.262,0.236,0.882,0.035,0.989,0.966,13.291
4581,0.206,0.043,0.950,0.886,0.279,0.795,0.908,0.135,0.921,0.627,15.239
4582,0.626,0.644,0.742,0.586,0.885,0.063,0.553,0.538,0.592,0.472,20.938
4583,0.904,0.025,0.269,0.136,0.204,0.024,0.625,0.470,0.190,0.211,4.597
4584,0.583,0.802,0.305,0.305,0.929,0.308,0.082,0.218,0.968,0.678,18.201
4585,0.323,0.996,0.479,0.377,0.406,0.845,0.085,0.679,0.723,0.855,14.019
4586,0.199,0.460,0.697,0.579,0.614,0.603,0.570,0.776,0.819,0.769,13.645
4587,0.655,0.934,0.728,0.636,0.772,0.693,0.320,0.776,0.722,0.349,19.611
4588,0.269,0.822,0.360,0.953,0.425,0.329,0.354,0.623,0.759,0.963,17.813
4589,0.987,0.612,0.082,0.272,0.483,0.788,0.717,0.300,0.103,0.408,19.002
4590,0.951,0.033,0.251,0.219,0.896,0.220,0.216,0.695,0.072,0.477,10.252
4591,0.323,0.408,0.087,0.809,0.665,0.503,0.926,0.125,0.585,0.282,18.771
4592,0.078,0.647,0.423,0.242,0.011,0.666,0.600,0.328,0.964,0.736,5.305
4593,0.429,0.749,0.525,0.247,0.596,0.588,0.323,0.644,0.851,0.120,13.783
4594,0.255,0.680,0.009,0.363,0.986,0.745,0.708,0.696,0.308,0.390,18.890
4595,0.662,0.145,0.933,0.651,0.951,0.054,0.462,0.175,0.817,0.768,17.236
4596,0.386,0.602,0.297,0.368,0.846,0.168,0.576,0.663,0.472,0.137,14.883
4597,0.640,0.566,0.691,0.277,0.559,0.420,0.895,0.972,0.620,0.043,14.379
4598,0.962,0.562,0.890,0.854,0.590,0.019,0.768,0.293,0.540,0.136,23.394
4599,0.724,0.047,0.692,0.542,0.662,0.605,0.907,0.162,0.843,0.852,9.916
4600,0.945,0.654,0.349,0.657,0.047,0.709,0.854,0.788,0.438,0.389,15.983
4601,0.443,0.905,0.080,0.897,0.664,0.465,0.517,0.787,0.953,0.339,24.341
4602,0.620,0.196,0.859,0.331,0.468,0.108,0.674,0.365,0.642,0.201,14.147
4603,0.621,0.516,0.488,0.108,0.151,0.436,0.732,0.694,0.256,0.145,8.691
4604,0.668,0.208,0.343,0.067,0.115,0.806,0.349,0.011,0.616,0.523,7.336
4605,0.685,0.528,0.380,0.594,0.794,0.740,0.393,0.743,0.400,0.447,18.643
4606,0.626,0.069,0.974,0.053,0.950,0.614,0.079,0.596,0.383,0.336,11.833
4607,0.675,0.616,0.854,0.460,0.912,0.532,0.728,0.586,0.917,0.386,20.044
4608,0.533,0.175,0.376,0.998,0.513,0.001,0.109,0.260,0.696,0.429,15.709
4609,0.123,0.378,0.524,0.523,0.112,0.720,0.095,0.763,0.971,0.314,7.175
4610,0.302,0.651,0.662,0.278,0.801,0.486,0.014,0.394,0.988,0.782,10.713
4611,0.522,0.915,0.658,0.058,0.504,0.660,0.671,0.469,0.705,0.331,11.909
4612,0.426,0.376,0.990,0.070,0.666,0.048,0.385,0.060,0.676,0.530,12.341
4613,0.990,0.902,0.433,0.161,0.748,0.665,0.051,0.544,0.711,0.244,10.089
4614,0.793,0.306,0.308,0.417,0.677,0.374,0.802,0.925,0.303,0.827,14.833
4615,0.350,0.463,0.182,0.278,0.041,0.011,0.325,0.707,0.202,0.505,10.217
4616,0.096,0.897,0.383,0.397,0.791,0.779,0.561,0.083,0.999,0.657,10.509
4617,0.715,0.219,0.879,0.550,0.018,0.723,0.054,0.454,0.827,0.253,14.572
4618,0.689,0.355,0.403,0.788,0.848,0.524,0.054,0.044,0.946,0.379,20.756
4619,0.541,0.288,0.953,0.004,0.547,0.259,0.503,0.922,0.717,0.510,11.379
4620,0.540,0.218,0.592,0.394,0.319,0.622,0.450,0.800,0.263,0.445,9.482
4621,0.723,0.763,0.775,0.100,0.806,0.009,0.514,0.670,0.488,0.585,17.527
4622,0.262,0.053,0.832,0.394,0.477,0.476,0.133,0.847,0.066,0.946,8.918
4623,0.495,0.514,0.237,0.291,0.745,0.571,0.825,0.454,0.074,0.763,15.245
4624,0.310,0.158,0.681,0.736,0.780,0.726,0.105,0.646,0.934,0.887,12.404
4625,0.890,0.438,0.697,0.199,0.121,0.838,0.348,0.164,0.287,0.827,12.911
4626,0.031,0.349,0.972,0.421,0.222,0.484,0.930,0.652,0.416,0.190,9.677
4627,0.290,0.097,0.106,0.620,0.289,0.778,0.362,0.844,0.709,0.971,12.480
4628,0.204,0.337,0.184,0.251,0.196,0.692,0.206,0.442,0.733,0.478,6.701
4629,0.049,0.874,0.328,0.402,0.166,0.284,0.806,0.115,0.273,0.954,6.488
4630,0.195,0.300,0.946,0.880,0.767,0.657,0.095,0.792,0.991,0.112,20.375
4631,0.950,0.298,0.461,0.748,0.576,0.621,0.257,0.288,0.637,0.609,19.005
4632,0.319,0.734,0.925,0.215,0.312,0.418,0.037,0.326,0.104,0.467,15.231
4633,0.311,0.019,0.991,0.016,0.873,0.124,0.852,0.056,0.393,0.577,9.939
4634,0.364,0.098,0.576,0.625,0.499,0.828,0.230,0.396,0.680,0.486,10.190
4635,0.602,0.874,0.829,0.519,0.988,0.184,0.484,0.430,0.310,0.077,23.013
4636,0.621,0.612,0.724,0.675,0.972,0.434,0.182,0.758,0.378,0.636,22.451
4637,0.924,0.561,0.170,0.201,0.453,0.190,0.856,0.175,0.909,0.833,16.294
4638,0.778,0.815,0.141,0.245,0.712,0.023,0.042,0.033,0.048,0.921,17.268
4639,0.045,0.897,0.953,0.346,0.923,0.752,0.776,0.492,0.414,0.778,13.317
4640,0.077,0.576,0.404,0.634,0.030,0.711,0.197,0.798,0.673,0.502,9.106
4641,0.021,0.009,0.193,0.677,0.107,0.417,0.494,0.228,0.057,0.678,10.281
4642,0.095,0.277,0.035,0.414,0.049,0.973,0.534,0.704,0.905,0.358,10.804
4643,0.548,0.404,0.578,0.487,0.321,0.369,0.729,0.507,0.322,0.463,12.360
4644,0.443,0.485,0.518,0.566,0.488,0.533,0.430,0.383,0.729,0.652,16.036
4645,0.404,0.180,0.672,0.086,0.864,0.740,0.191,0.268,0.844,0.248,9.178
4646,0.618,0.291,0.793,0.813,0.822,0.015,0.692,0.799,0.216,0.710,19.760
4647,0.938,0.995,0.673,0.964,0.979,0.669,0.330,0.426,0.703,0.739,16.831
4648,0.174,0.708,0.412,0.317,0.675,0.222,0.626,0.205,0.692,0.012,10.024
4649,0.381,0.111,0.617,0.939,0.402,0.111,0.531,0.974,0.459,0.977,12.512
4650,0.564,0.993,0.376,0.105,0.758,0.161,0.341,0.013,0.099,0.963,15.014
4651,0.703,0.894,0.161,0.005,0.253,0.135,0.047,0.670,0.490,0.108,11.560
4652,0.005,0.828,0.843,0.535,0.334,0.550,0.260,0.198,0.193,0.867,9.106
4653,0.831,0.810,0.478,0.809,0.235,0.938,0.677,0.829,0.030,0.204,17.577
4654,0.641,0.315,0.538,0.164,0.368,0.060,0.072,0.454,0.564,0.182,10.046
4655,0.121,0.523,0.634,0.165,0.139,0.598,0.575,0.119,0.150,0.714,4.192
4656,0.188,0.946,0.107,0.449,0.462,0.561,0.524,0.227,0.120,0.282,15.428
4657,0.287,0.540,0.674,0.721,0.391,0.881,0.989,0.388,0.581,0.586,12.916
4658,0.792,0.126,0.676,0.936,0.134,0.327,0.194,0.025,0.835,0.313,13.188
4659,0.122,0.357,0.295,0.972,0.801,0.832,0.036,0.948,0.272,0.913,16.662
4660,0.930,0.298,0.358,0.431,0.884,0.448,0.630,0.751,0.274,0.908,16.027
4661,0.072,0.211,0.809,0.385,0.504,0.653,0.367,0.074,0.157,0.346,7.994
4662,0.848,0.310,0.871,0.394,0.621,0.741,0.023,0.310,0.849,0.523,15.557
4663,0.245,0.636,0.517,0.507,0.895,0.476,0.062,0.475,0.732,0.524,12.912
4664,0.262,0.396,0.724,0.918,0.943,0.777,0.090,0.212,0.569,0.864,19.253
4665,0.837,0.638,0.469,0.505,0.453,0.726,0.638,0.866,0.632,0.562,16.913
4666,0.649,0.533,0.981,0.611,0.362,0.636,0.543,0.616,0.827,0.636,21.866
4667,0.021,0.524,0.178,0.545,0.619,0.776,0.122,0.413,0.813,0.660,11.517
4668,0.597,0.620,0.929,0.778,0.302,0.546,0.183,0.700,0.206,0.102,21.734
4669,0.577,0.639,0.114,0.847,0.371,0.021,0.347,0.610,0.006,0.730,23.531
4670,0.367,0.457,0.669,0.239,0.103,0.940,0.578,0.047,0.552,0.006,10.269
4671,0.731,0.369,0.236,0.868,0.429,0.289,0.507,0.156,0.689,0.670,20.603
4672,0.278,0.822,0.437,0.264,0.900,0.921,0.445,0.623,0.168,0.787,12.454
4673,0.563,0.685,0.099,0.911,0.571,0.541,0.382,0.616,0.472,0.069,25.508
4674,0.396,0.697,0.244,0.426,0.126,0.333,0.434,0.011,0.650,0.764,15.361
4675,0.611,0.982,0.003,0.350,0.960,0.966,0.696,0.343,0.933,0.301,22.334
4676,0.666,0.769,0.709,0.286,0.333,0.885,0.891,0.622,0.992,0.227,16.913
4677,0.095,0.525,0.814,0.321,0.477,0.166,0.835,0.116,0.759,0.037,8.692
4678,0.560,0.460,0.381,0.827,0.450,0.618,0.405,0.969,0.654,0.752,18.804
4679,0.663,0.235,0.776,0.157,0.774,0.246,0.315,0.003,0.621,0.017,11.884
4680,0.843,0.277,0.289,0.939,0.703,0.314,0.295,0.298,0.648,0.608,18.096
4681,0.574,0.270,0.613,0.547,0.847,0.605,0.033,0.699,0.468,0.176,16.067
4682,0.681,0.572,0.195,0.186,0.413,0.508,0.033,0.847,0.168,0.645,15.022
4683,0.810,0.646,0.762,0.521,0.558,0.417,0.713,0.273,0.734,0.115,19.196
4684,0.010,0.415,0.384,0.038,0.790,0.453,0.688,0.464,0.622,0.395,5.327
4685,0.641,0.956,0.959,0.580,0.597,0.311,0.269,0.653,0.164,0.007,22.950
4686,0.512,0.215,0.529,0.824,0.122,0.770,0.379,0.953,0.223,0.836,10.579
4687,0.383,0.230,0.835,0.868,0.567,0.034,0.211,0.673,0.469,0.151,16.908
4688,0.103,0.517,0.025,0.058,0.904,0.072,0.717,0.527,0.173,0.935,11.505
4689,0.455,0.013,0.430,0.144,0.417,0.151,0.266,0.208,0.599,0.609,3.741
4690,0.447,0.237,0.690,0.379,0.843,0.464,0.859,0.501,0.457,0.416,11.629
4691,0.996,0.593,0.903,0.172,0.825,0.989,0.996,0.280,0.853,0.366,17.774
4692,0.933,0.055,0.826,0.204,0.157,0.380,0.216,0.598,0.829,0.664,6.762
4693,0.532,0.099,0.133,0.344,0.017,0.486,0.637,0.359,0.277,0.380,7.964
4694,0.200,0.373,0.308,0.763,0.777,0.207,0.351,0.768,0.918,0.184,14.868
4695,0.392,0.991,0.600,0.625,0.034,0.481,0.718,0.408,0.787,0.629,16.882
4696,0.326,0.322,0.914,0.818,0.990,0.815,0.804,0.800,0.080,0.934,19.696
4697,0.299,0.880,0.989,0.923,0.978,0.804,0.008,0.165,0.545,0.761,25.142
4698,0.851,0.383,0.482,0.615,0.958,0.975,0.461,0.098,0.457,0.734,18.986
4699,0.114,0.012,0.934,0.914,0.798,0.755,0.428,0.628,0.001,0.309,16.806
4700,0.174,0.092,0.276,0.668,0.658,0.259,0.884,0.918,0.399,0.117,10.866
4701,0.525,0.312,0.941,0.034,0.987,0.440,0.350,0.676,0.998,0.912,15.018
4702,0.535,0.340,0.140,0.220,0.154,0.453,0.333,0.322,0.245,0.223,11.943
4703,0.026,0.034,0.200,0.744,0.505,0.864,0.051,0.903,0.286,0.768,10.254
4704,0.315,0.777,0.874,0.331,0.065,0.180,0.191,0.125,0.039,0.837,12.255
4705,0.592,0.020,0.648,0.650,0.959,0.031,0.880,0.936,0.342,0.516,13.010
4706,0.551,0.210,0.469,0.353,0.271,0.670,0.787,0.312,0.624,0.565,8.715
4707,0.599,0.586,0.027,0.377,0.053,0.051,0.963,0.693,0.413,0.948,16.867
4708,0.648,0.802,0.255,0.588,0.910,0.154,0.377,0.403,0.438,0.637,19.912
4709,0.381,0.886,0.750,0.802,0.704,0.990,0.758,0.140,0.481,0.796,19.978
4710,0.778,0.843,0.023,0.214,0.339,0.378,0.215,0.807,0.827,0.475,19.324
4711,0.124,0.083,0.114,0.994,0.929,0.271,0.787,0.395,0.279,0.830,17.900
4712,0.861,0.132,0.802,0.589,0.901,0.525,0.090,0.689,0.275,0.302,15.147
4713,0.679,0.732,0.783,0.747,0.440,0.853,0.801,0.089,0.517,0.165,21.880
4714,0.873,0.249,0.652,0.090,0.727,0.109,0.995,0.745,0.547,0.251,12.180
4715,0.241,0.999,0.139,0.620,0.416,0.989,0.436,0.214,0.057,0.080,18.662
4716,0.012,0.227,0.034,0.860,0.335,0.459,0.542,0.656,0.650,0.579,13.294
4717,0.850,0.637,0.032,0.310,0.141,0.181,0.689,0.551,0.683,0.485,20.726
4718,0.279,0.554,0.856,0.535,0.267,0.050,0.797,0.237,0.090,0.891,13.869
4719,0.980,0.498,0.663,0.629,0.851,0.660,0.378,0.251,0.500,0.153,20.594
4720,0.615,0.856,0.855,0.994,0.614,0.030,0.018,0.454,0.668,0.725,26.612
4721,0.805,0.099,0.733,0.745,0.971,0.005,0.866,0.201,0.660,0.202,15.893
4722,0.086,0.937,0.574,0.606,0.916,0.057,0.237,0.926,0.477,0.160,14.416
4723,0.645,0.719,0.694,0.194,0.784,0.062,0.616,0.471,0.006,0.273,15.776
4724,0.358,0.447,0.338,0.319,0.816,0.479,0.108,0.959,0.619,0.997,12.251
4725,0.248,0.748,0.900,0.143,0.113,0.191,0.264,0.082,0.447,0.062,10.719
4726,0.767,0.381,0.411,0.429,0.883,0.551,0.275,0.080,0.179,0.912,16.856
4727,0.657,0.628,0.634,0.499,0.700,0.359,0.561,0.419,0.926,0.012,18.507
4728,0.128,0.044,0.101,0.338,0.265,0.742,0.901,0.546,0.265,0.959,8.721
4729,0.153,0.936,0.998,0.614,0.086,0.092,0.365,0.689,0.810,0.167,16.394
4730,0.272,0.088,0.567,0.675,0.634,0.253,0.250,0.497,0.245,0.145,10.890
4731,0.288,0.401,0.592,0.856,0.938,0.384,0.446,0.365,0.138,0.905,17.969
4732,0.126,0.009,0.560,0.835,0.916,0.095,0.007,0.664,0.293,0.926,11.959
4733,0.425,0.125,0.484,0.045,0.464,0.390,0.402,0.351,0.873,0.001,6.108
4734,0.490,0.392,0.938,0.203,0.162,0.315,0.252,0.250,0.864,0.950,12.254
4735,0.042,0.407,0.096,0.906,0.073,0.688,0.641,0.913,0.000,0.567,13.724
4736,0.130,0.380,0.877,0.122,0.268,0.556,0.957,0.549,0.405,0.343,6.611
4737,0.727,0.173,0.538,0.676,0.582,0.868,0.565,0.691,0.701,0.261,13.070
4738,0.077,0.541,0.931,0.333,0.684,0.557,0.558,0.603,0.749,0.233,11.827
4739,0.982,0.473,0.864,0.803,0.006,0.168,0.483,0.735,0.985,0.849,21.115
4740,0.249,0.345,0.251,0.324,0.012,0.653,0.566,0.566,0.133,0.376,7.612
4741,0.253,0.383,0.762,0.640,0.762,0.030,0.586,0.543,0.092,0.497,14.812
4742,0.741,0.279,0.955,0.537,0.405,0.970,0.661,0.362,0.623,0.719,18.757
4743,0.731,0.838,0.952,0.730,0.801,0.798,0.220,0.767,0.799,0.877,22.958
4744,0.682,0.366,0.922,0.480,0.083,0.832,0.065,0.047,0.520,0.384,14.847
4745,0.187,0.193,0.361,0.844,0.579,0.564,0.414,0.213,0.055,0.303,13.611
4746,0.222,0.234,0.887,0.453,0.019,0.153,0.529,0.781,0.164,0.927,9.537
4747,0.566,0.328,0.358,0.944,0.487,0.580,0.077,0.917,0.484,0.224,14.654
4748,0.995,0.399,0.369,0.031,0.393,0.016,0.735,0.465,0.303,0.255,12.333
4749,0.985,0.786,0.584,0.804,0.571,0.370,0.247,0.665,0.014,0.696,19.857
4750,0.378,0.443,0.490,0.010,0.394,0.581,0.774,0.135,0.979,0.558,5.291
4751,0.122,0.536,0.749,0.804,0.107,0.754,0.653,0.875,0.109,0.996,10.316
4752,0.621,0.150,0.931,0.095,0.022,0.588,0.916,0.274,0.218,0.706,5.184
4753,0.285,0.362,0.279,0.763,0.988,0.491,0.949,0.944,0.343,0.712,16.130
4754,0.151,0.885,0.351,0.654,0.909,0.894,0.679,0.263,0.067,0.638,16.005
4755,0.009,0.256,0.921,0.935,0.631,0.692,0.676,0.140,0.687,0.064,16.247
4756,0.008,0.402,0.983,0.758,0.893,0.872,0.430,0.552,0.088,0.837,16.808
4757,0.641,0.747,0.501,0.154,0.029,0.138,0.134,0.584,0.053,0.674,12.204
4758,0.851,0.872,0.460,0.377,0.651,0.869,0.575,0.861,0.223,0.502,14.987
4759,0.265,0.253,0.743,0.692,0.636,0.979,0.691,0.434,0.569,0.720,13.877
4760,0.610,0.519,0.413,0.092,0.355,0.422,0.060,0.069,0.325,0.245,11.353
4761,0.180,0.811,0.503,0.179,0.320,0.006,0.071,0.578,0.576,0.583,8.579
4762,0.490,0.920,0.472,0.560,0.397,0.037,0.784,0.286,0.440,0.469,18.932
4763,0.607,0.741,0.325,0.378,0.052,0.876,0.631,0.482,0.354,0.815,14.948
4764,0.712,0.287,0.148,0.371,0.873,0.138,0.391,0.134,0.827,0.463,16.163
4765,0.442,0.133,0.567,0.136,0.856,0.462,0.418,0.029,0.548,0.960,7.445
4766,0.830,0.890,0.959,0.284,0.530,0.710,0.520,0.023,0.203,0.522,16.442
4767,0.529,0.599,0.177,0.753,0.336,0.321,0.289,0.015,0.634,0.124,19.701
4768,0.075,0.472,0.509,0.294,0.580,0.020,0.488,0.095,0.836,0.161,6.351
4769,0.539,0.591,0.467,0.098,0.580,0.934,0.749,0.941,0.783,0.495,11.430
4770,0.312,0.703,0.838,0.664,0.127,0.569,0.702,0.268,0.405,0.261,15.377
4771,0.723,0.141,0.170,0.717,0.677,0.730,0.137,0.967,0.857,0.817,16.151
4772,0.341,0.861,0.884,0.087,0.609,0.138,0.737,0.915,0.668,0.004,14.029
4773,0.325,0.614,0.629,0.263,0.386,0.430,0.945,0.020,0.493,0.002,11.445
4774,0.895,0.383,0.478,0.314,0.475,0.014,0.605,0.072,0.170,0.750,13.963
4775,0.684,0.433,0.374,0.157,0.653,0.435,0.365,0.667,0.841,0.153,13.615
4776,0.358,0.485,0.053,0.755,0.023,0.428,0.689,0.411,0.552,0.722,17.643
4777,0.439,0.117,0.846,0.984,0.951,0.808,0.625,0.726,0.357,0.698,16.717
4778,0.529,0.139,0.276,0.014,0.928,0.596,0.599,0.924,0.538,0.167,9.988
4779,0.429,0.816,0.246,0.191,0.211,0.704,0.706,0.002,0.877,0.772,13.573
4780,0.948,0.424,0.438,0.043,0.115,0.285,0.034,0.719,0.152,0.526,9.587
4781,0.683,0.336,0.771,0.136,0.803,0.643,0.796,0.652,0.346,0.703,12.852
4782,0.996,0.020,0.447,0.136,0.547,0.100,0.822,0.261,0.378,0.224,4.055
4783,0.208,0.159,0.967,0.592,0.319,0.676,0.374,0.933,0.375,0.905,12.806
4784,0.333,0.262,0.857,0.457,0.380,0.918,0.085,0.514,0.330,0.576,11.480
4785,0.767,0.978,0.682,0.388,0.389,0.266,0.039,0.194,0.828,0.777,14.106
4786,0.682,0.797,0.081,0.116,0.834,0.986,0.512,0.195,0.531,0.302,17.573
4787,0.438,0.240,0.884,0.680,0.332,0.677,0.381,0.569,0.810,0.806,14.093
4788,0.409,0.956,0.056,0.877,0.139,0.516,0.740,0.948,0.107,0.074,23.621
4789,0.666,0.984,0.660,0.034,0.966,0.342,0.246,0.290,0.610,0.943,15.463
4790,0.818,0.902,0.417,0.747,0.322,0.089,0.067,0.749,0.137,0.526,16.598
4791,0.792,0.831,0.025,0.854,0.630,0.831,0.469,0.151,0.948,0.029,24.948
4792,0.672,0.203,0.504,0.942,0.182,0.066,0.745,0.077,0.754,0.135,15.012
4793,0.704,0.514,0.320,0.145,0.418,0.827,0.783,0.839,0.717,0.855,12.413
4794,0.060,0.167,0.240,0.906,0.890,0.550,0.584,0.550,0.892,0.138,14.889
4795,0.428,0.038,0.981,0.186,0.248,0.767,0.667,0.485,0.387,0.804,9.299
4796,0.962,0.029,0.777,0.914,0.440,0.232,0.064,0.089,0.942,0.573,13.880
4797,0.403,0.872,0.023,0.971,1.000,0.144,0.123,0.087,0.563,0.235,28.855
4798,0.884,0.066,0.132,0.877,0.954,0.708,0.844,0.547,0.061,0.381,17.977
4799,0.526,0.944,0.772,0.555,0.394,0.111,0.966,0.337,0.449,0.508,19.593
4800,0.821,0.711,0.261,0.845,0.395,0.287,0.425,0.853,0.891,0.872,21.474
4801,0.058,0.307,0.074,0.741,0.225,0.612,0.416,0.966,0.839,0.801,13.101
4802,0.521,0.960,0.193,0.256,0.345,0.288,0.860,0.264,0.136,0.160,17.331
4803,0.131,0.130,0.275,0.397,0.484,0.047,0.283,0.720,0.662,0.546,9.380
4804,0.620,0.574,0.282,0.126,0.673,0.734,0.115,0.641,0.585,0.357,15.224
4805,0.912,0.306,0.417,0.383,0.720,0.168,0.677,0.352,0.267,0.088,14.966
4806,0.585,0.010,0.864,0.755,0.627,0.686,0.992,0.066,0.807,0.033,14.092
4807,0.645,0.061,0.028,0.867,0.668,0.497,0.104,0.624,0.585,0.777,17.612
4808,0.667,0.527,0.791,0.927,0.087,0.217,0.348,0.622,0.019,0.503,19.954
4809,0.551,0.833,0.554,0.216,0.762,0.373,0.116,0.736,0.310,0.593,15.190
4810,0.126,0.240,0.881,0.466,0.823,0.735,0.041,0.458,0.841,0.560,14.148
4811,0.729,0.406,0.758,0.025,0.112,0.911,0.970,0.874,0.172,0.758,10.775
4812,0.386,0.014,0.699,0.692,0.758,0.566,0.599,0.244,0.305,0.333,12.960
4813,0.200,0.868,0.365,0.469,0.093,0.677,0.455,0.488,0.867,0.534,11.160
4814,0.083,0.431,0.053,0.073,0.576,0.127,0.961,0.514,0.730,0.492,9.072
4815,0.865,0.981,0.718,0.028,0.620,0.339,0.731,0.856,0.097,0.978,7.229
4816,0.002,0.044,0.502,0.343,0.903,0.632,0.037,0.795,0.819,0.932,7.542
4817,0.843,0.813,0.687,0.859,0.617,0.385,0.016,0.403,0.416,0.116,21.018
4818,0.132,0.730,0.974,0.279,0.612,0.812,0.680,0.045,0.514,0.606,14.649
4819,0.283,0.738,0.226,0.094,0.628,0.689,0.541,0.320,0.186,0.269,12.718
4820,0.827,0.403,0.530,0.491,0.005,0.735,0.227,0.092,0.073,0.791,14.423
4821,0.819,0.439,0.778,0.509,0.365,0.462,0.439,0.883,0.150,0.153,18.125
4822,0.040,0.943,0.575,0.613,0.408,0.227,0.159,0.002,0.814,0.501,8.523
4823,0.360,0.977,0.362,0.378,0.781,0.198,0.314,0.121,0.687,0.819,18.273
4824,0.802,0.414,0.227,0.907,0.952,0.466,0.072,0.356,0.094,0.320,26.672
4825,0.413,0.041,0.730,0.271,0.591,0.777,0.046,0.747,0.501,0.327,6.329
4826,0.751,0.756,0.491,0.718,0.810,0.883,0.674,0.493,0.933,0.711,21.892
4827,0.220,0.585,0.046,0.486,0.369,0.520,0.672,0.868,0.566,0.607,13.696
4828,0.738,0.146,0.373,0.532,0.533,0.348,0.849,0.209,0.186,0.548,11.757
4829,0.927,0.708,0.906,0.219,0.340,0.028,0.846,0.395,0.918,0.720,15.655
4830,0.267,0.220,0.685,0.757,0.113,0.206,0.526,0.940,0.981,0.711,9.735
4831,0.981,0.572,0.349,0.395,0.142,0.642,0.970,0.700,0.960,0.711,15.520
4832,0.675,0.485,0.368,0.043,0.536,0.469,0.179,0.399,0.984,0.030,11.974
4833,0.516,0.885,0.405,0.077,0.946,0.512,0.119,0.669,0.794,0.532,15.250
4834,0.582,0.115,0.463,0.312,0.521,0.707,0.255,0.182,0.890,0.795,7.976
4835,0.015,0.355,0.383,0.229,0.624,0.542,0.261,0.395,0.756,0.023,5.902
4836,0.686,0.798,0.005,0.531,0.471,0.452,0.162,0.143,0.715,0.065,22.424
4837,0.460,0.602,0.244,0.214,0.913,0.873,0.584,0.050,0.007,0.682,15.787
4838,0.578,0.114,0.583,0.762,0.161,0.145,0.176,0.692,0.577,0.982,9.368
4839,0.060,0.006,0.518,0.637,0.306,0.100,0.633,0.311,0.361,0.943,7.946
4840,0.833,0.354,0.061,0.316,0.498,0.387,0.183,0.197,0.552,0.935,16.795
4841,0.164,0.787,0.329,0.590,0.986,0.742,0.765,0.008,0.937,0.622,13.665
4842,0.957,0.427,0.879,0.041,0.184,0.900,0.964,0.424,0.026,0.270,11.993
4843,0.484,0.397,0.270,0.855,0.905,0.912,0.595,0.762,0.298,0.876,19.824
4844,0.335,0.497,0.642,0.818,0.509,0.087,0.069,0.129,0.134,0.652,16.312
4845,0.289,0.595,0.695,0.327,0.638,0.999,0.942,0.001,0.523,0.356,13.330
4846,0.086,0.583,0.971,0.154,0.351,0.903,0.838,0.002,0.789,0.118,10.049
4847,0.708,0.694,0.436,0.201,0.210,0.146,0.768,0.189,0.614,0.571,11.761
4848,0.686,0.169,0.566,0.837,0.691,0.596,0.509,0.103,0.865,0.163,13.676
4849,0.039,0.029,0.602,0.938,0.434,0.076,0.894,0.403,0.490,0.559,12.725
4850,0.475,0.764,0.358,0.053,0.380,0.018,0.017,0.959,0.960,0.483,12.456
4851,0.839,0.548,0.319,0.405,0.988,0.959,0.113,0.463,0.367,0.205,20.198
4852,0.153,0.363,0.509,0.277,0.466,0.080,0.650,0.648,0.525,0.442,6.860
