id,climbRate,Sgz,p,q,curPitch,curRoll,absRoll,diffClb,diffRollRate,diffDiffClb,SeTime1,SeTime2,SeTime3,SeTime4,SeTime5,SeTime6,SeTime7,SeTime8,SeTime9,SeTime10,SeTime11,SeTime12,SeTime13,SeTime14,diffSeTime1,diffSeTime2,diffSeTime3,diffSeTime4,diffSeTime5,diffSeTime6,diffSeTime7,diffSeTime8,diffSeTime9,diffSeTime10,diffSeTime11,diffSeTime12,diffSeTime13,diffSeTime14,alpha,Se,goal
1994,32,-23,-0.07,0.06,0.73,-0.8,-20,9,0.030,0.5,0.028,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.8,0.027,-0.0014
1995,170,-20,0.33,0.10,0.59,-0.6,-19,9,0.024,-0.2,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.030,0.030,0.028,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.003,0.000,0.8,0.028,-0.0016
1996,41,-17,0.46,0.28,0.82,0.2,-19,-13,-0.004,1.0,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.9,0.032,-0.0021
1997,-240,-20,0.22,-0.13,1.02,1.0,-18,-2,-0.030,4.9,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.8,0.027,-0.0019
1998,-151,-23,-0.01,0.13,0.90,1.1,-18,12,-0.029,-1.6,0.026,0.026,0.026,0.026,0.026,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.000,0.000,0.000,0.000,-0.002,0.000,-0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.7,0.027,-0.0012
1999,197,-22,-0.02,0.09,0.54,0.4,-19,9,0.016,-0.4,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.8,0.027,-0.0013
2000,279,-18,0.15,0.08,0.46,0.5,-19,8,0.015,-0.1,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.027,0.027,0.027,0.027,0.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.8,0.027,-0.0016
2001,282,-10,0.30,0.19,0.52,0.8,-18,-8,0.004,0.7,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.8,0.029,-0.0017
2002,-128,-3,-0.12,0.33,0.98,1.2,-18,-17,-0.014,-0.2,0.029,0.029,0.029,0.030,0.030,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.000,0.000,-0.002,0.000,-0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.9,0.031,-0.0016
2003,-333,-12,-0.31,0.10,1.08,0.7,-18,5,-0.005,1.0,0.026,0.026,0.026,0.026,0.026,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.000,0.000,0.000,0.000,-0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.8,0.027,-0.0012
2004,149,-24,0.32,0.07,0.56,0.2,-19,10,0.014,-0.2,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.7,0.025,-0.0016
2005,193,-21,0.40,0.14,0.55,0.5,-18,1,0.008,-0.2,0.029,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.8,0.027,-0.0018
2006,18,-12,-0.06,0.26,0.77,1.4,-18,-11,-0.021,-0.3,0.028,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,-0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.8,0.029,-0.0012
2007,131,-15,0.19,0.11,0.57,0.5,-19,6,0.012,-0.1,0.026,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.7,0.025,-0.0016
2008,44,-5,0.08,0.26,0.74,1.3,-18,-14,-0.013,0.2,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.8,0.029,-0.0015
2009,-289,-17,-0.24,-0.11,0.96,0.8,-18,5,-0.003,4.0,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.7,0.024,-0.0017
2010,-31,-24,-0.42,0.13,0.72,-0.3,-19,5,-0.009,0.1,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.7,0.025,-0.0012
2011,56,-23,-0.35,0.15,0.64,-1.4,-20,3,0.020,0.5,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.7,0.025,-0.0010
2012,-43,15,-1.01,0.23,0.88,0.7,-18,-7,0.021,0.1,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.9,0.031,-0.0011
2013,-23,6,-0.25,0.11,1.25,-0.5,-11,-5,0.007,-0.2,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.2,0.044,-0.0011
2014,-70,5,-0.17,0.13,1.31,-0.8,-12,-5,0.007,-0.2,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.044,0.044,0.044,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,1.2,0.044,-0.0010
2015,-141,-3,0.23,0.09,1.34,-0.7,-12,-2,0.012,-0.4,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.042,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,0.000,1.2,0.042,-0.0013
2016,-90,-8,0.34,0.06,1.25,0.4,-11,-1,-0.004,-0.1,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.2,0.041,-0.0016
2017,91,-14,-0.30,-0.06,0.95,0.8,-10,8,-0.014,0.1,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.1,0.037,-0.0013
2018,180,-11,-0.46,0.07,0.88,0.2,-11,2,-0.011,-0.9,0.041,0.041,0.041,0.039,0.039,0.039,0.039,0.039,0.039,0.038,0.038,0.038,0.038,0.038,0.000,0.000,0.002,0.000,-0.001,0.000,-0.001,0.000,0.001,0.000,0.000,0.000,-0.001,0.000,1.1,0.038,-0.0011
2019,183,-7,-0.48,0.17,0.90,-0.4,-11,-3,0.004,-0.8,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.041,0.041,0.041,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,1.1,0.041,-0.0010
2020,-166,-6,0.17,0.17,1.31,-1.4,-12,-9,0.012,-0.2,0.037,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.040,-0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.003,0.000,1.1,0.040,-0.0009
2021,-211,-8,0.26,0.07,1.32,-1.2,-12,-4,0.011,0.7,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.037,0.037,0.039,0.039,0.039,0.039,0.039,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,0.000,-0.003,0.000,0.000,0.000,0.000,0.000,1.1,0.039,-0.0010
2022,-185,-14,0.41,-0.02,1.21,-0.7,-12,9,0.006,0.1,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.036,0.036,0.036,0.036,0.036,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,0.000,0.000,0.000,0.000,0.000,1.0,0.036,-0.0016
2023,96,-17,0.25,-0.14,0.81,0.6,-10,16,-0.018,0.3,0.035,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.9,0.032,-0.0018
2024,311,-11,-0.11,0.25,0.67,0.8,-10,2,-0.026,-3.5,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.0,0.037,-0.0017
2025,241,-6,-0.35,0.06,0.77,0.6,-10,-7,-0.024,1.0,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,0.000,0.000,1.1,0.037,-0.0007
2026,187,14,0.35,0.19,0.79,-0.9,-12,-4,0.019,-1.3,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.0,0.036,-0.0012
2027,17,18,0.57,0.13,1.00,0.4,-11,-10,-0.011,0.2,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.0,0.036,-0.0014
2028,-117,14,0.16,0.07,1.08,1.5,-10,1,-0.018,-0.8,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.0,0.034,-0.0015
2029,-141,9,-0.23,0.07,1.11,1.4,-10,-3,-0.019,-0.3,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.0,0.034,-0.0006
2030,-193,3,-0.50,0.09,1.16,0.6,-10,-3,0.008,0.0,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.034,0.034,0.034,0.034,0.034,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,-0.001,0.000,-0.001,0.000,1.0,0.034,-0.0005
2031,-293,-6,-0.06,-0.12,1.23,-0.1,-11,0,0.025,2.7,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.9,0.032,-0.0009
2032,-208,-14,0.33,0.07,1.14,0.3,-11,1,0.005,-0.6,0.030,0.030,0.030,0.031,0.031,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.000,0.000,-0.002,0.000,-0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.9,0.033,-0.0010
2033,-37,-22,0.32,-0.09,0.87,1.3,-10,12,-0.006,-0.5,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.8,0.029,-0.0012
2034,124,-21,0.24,-0.09,0.70,1.7,-9,11,-0.007,-0.2,0.032,0.032,0.032,0.032,0.032,0.031,0.031,0.031,0.031,0.031,0.031,0.030,0.030,0.029,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.8,0.029,-0.0011
2035,144,-12,-0.11,0.07,0.74,1.9,-9,-3,-0.010,-0.2,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.9,0.032,-0.0009
2036,-9,-5,-0.15,0.09,0.89,0.8,-10,-4,0.003,-0.1,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.9,0.031,-0.0011
2037,-172,-10,-0.14,0.04,1.06,0.4,-11,-7,-0.003,0.3,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.9,0.030,-0.0007
2038,-264,-26,0.26,-0.04,1.10,0.3,-11,3,0.012,0.4,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.8,0.028,-0.0013
2039,-170,-32,0.41,0.01,0.98,0.9,-10,5,0.002,-0.3,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.029,0.029,0.029,0.029,0.029,0.029,0.028,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.8,0.028,-0.0014
2040,-153,-45,-0.44,0.02,0.96,0.9,-10,2,-0.020,-0.1,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.8,0.028,-0.0009
2041,-81,-48,-0.68,0.09,0.86,0.0,-11,9,-0.005,-0.6,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,-0.001,0.000,-0.001,0.000,0.8,0.029,-0.0008
2042,-71,-49,-0.64,0.09,0.90,-0.5,-11,-3,0.010,-1.1,0.028,0.028,0.028,0.028,0.028,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.8,0.029,-0.0006
2043,-121,-55,0.14,0.11,0.95,-1.7,-13,-4,0.020,-0.2,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.028,0.028,0.029,0.029,0.029,0.029,0.029,0.000,0.000,0.000,0.000,0.000,0.000,-0.004,0.000,-0.002,0.000,0.000,0.000,0.000,0.000,0.8,0.029,-0.0012
2044,30,-58,0.39,0.07,0.74,-1.0,-12,5,-0.013,-2.1,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.8,0.027,-0.0013
2045,37,-58,0.37,0.03,0.74,-0.9,-12,3,-0.013,-0.9,0.028,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.8,0.027,-0.0012
2046,111,-54,0.13,0.06,0.68,-0.4,-11,-3,-0.010,0.1,0.029,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.8,0.028,-0.0011
2047,15,-51,-0.04,0.19,0.84,-0.3,-11,-15,-0.004,-0.4,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.9,0.030,-0.0008
2048,-178,-53,-0.07,0.10,1.01,-0.4,-11,-13,0.004,0.4,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.029,0.029,0.029,-0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,0.000,0.000,0.000,0.8,0.029,-0.0006
2049,-202,-65,0.38,-0.09,0.93,0.1,-11,7,0.015,1.2,0.025,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.025,0.025,0.025,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,0.000,0.000,0.000,0.7,0.025,-0.0015
2050,22,-69,-0.35,-0.15,0.64,1.2,-10,18,-0.027,1.3,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.7,0.024,-0.0014
2051,118,-69,-0.50,-0.06,0.57,1.0,-10,13,-0.025,-1.2,0.026,0.026,0.026,0.026,0.026,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.7,0.024,-0.0009
2052,259,-65,-0.75,0.11,0.46,0.2,-11,9,-0.017,-2.5,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.026,0.026,0.026,0.000,0.000,0.000,0.000,-0.001,0.000,0.001,0.000,-0.001,0.000,0.001,0.000,0.000,0.000,0.7,0.026,-0.0006
2053,243,-59,-0.75,0.10,0.52,-0.8,-12,-5,0.010,-0.2,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.000,0.000,0.000,0.000,-0.001,0.000,0.001,0.000,-0.001,0.000,-0.001,0.000,0.000,0.000,0.8,0.027,-0.0005
2054,124,-52,-0.27,0.12,0.65,-2.0,-13,-6,0.027,0.3,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.028,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.001,0.000,0.8,0.028,-0.0004
2055,-68,-51,0.23,-0.12,0.81,-2.0,-13,-6,0.028,3.4,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.8,0.025,-0.0009
2056,42,-52,0.66,0.03,0.67,-1.2,-12,4,0.011,0.1,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.026,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,0.000,0.7,0.026,-0.0013
2057,132,-49,0.61,-0.13,0.55,0.1,-11,6,-0.015,1.2,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.7,0.023,-0.0015
2058,308,-39,0.01,0.10,0.44,0.9,-10,-7,-0.031,-0.9,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.8,0.026,-0.0014
2059,274,-35,-0.24,0.07,0.46,0.8,-10,-3,-0.030,0.3,0.027,0.027,0.027,0.027,0.027,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.000,0.000,0.000,0.000,0.001,0.000,-0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.7,0.026,-0.0006
2060,-97,-26,0.31,0.08,0.81,-1.0,-12,-3,0.016,-0.2,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,0.000,0.7,0.025,-0.0009
2061,-51,-29,0.52,0.05,0.74,-0.3,-11,2,0.007,-0.5,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.7,0.024,-0.0010
2062,-45,-29,0.52,0.07,0.75,0.1,-11,-1,-0.004,-0.5,0.023,0.023,0.023,0.023,0.023,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.000,0.000,0.000,0.000,-0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.7,0.025,-0.0011
2063,218,-25,0.01,-0.04,0.44,1.5,-10,7,-0.014,-0.1,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.7,0.023,-0.0010
2064,310,-4,-0.37,0.12,0.41,0.7,-10,-8,-0.007,-0.7,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.7,0.025,-0.0008
2065,-39,8,-0.26,0.15,0.76,-1.0,-12,-11,0.010,0.1,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.7,0.026,-0.0007
2066,-110,-5,0.30,0.04,0.77,-0.9,-12,2,0.010,-0.2,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.7,0.023,-0.0009
2067,-51,-9,0.37,0.01,0.69,0.3,-11,6,-0.007,-0.1,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.6,0.023,-0.0011
2068,-73,-9,-0.35,0.10,0.75,0.6,-10,-6,-0.015,-0.2,0.023,0.023,0.023,0.023,0.023,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.000,0.000,0.000,0.000,-0.002,0.000,-0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.7,0.024,-0.0008
2069,-120,-11,-0.45,0.09,0.80,0.3,-11,-7,-0.010,0.1,0.022,0.022,0.022,0.022,0.022,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.024,0.000,0.000,0.000,0.000,-0.001,0.000,-0.001,0.000,0.000,0.000,0.000,0.000,-0.002,0.000,0.7,0.024,-0.0007
2070,151,-11,0.22,0.02,0.48,-1.0,-12,4,0.011,-0.1,0.024,0.024,0.024,0.024,0.024,0.023,0.023,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.6,0.022,-0.0008
2071,182,-9,0.30,0.10,0.46,-0.8,-12,3,0.009,-0.6,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.024,0.024,0.024,0.024,0.024,0.024,0.023,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.6,0.023,-0.0013
2072,-85,-11,-0.37,0.01,0.69,-0.3,-11,6,-0.020,-0.9,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.6,0.021,-0.0006
2073,82,-8,-0.07,0.21,0.60,-2.3,-13,-11,0.023,-1.9,0.023,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,-0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.7,0.024,-0.0005
2074,-33,-8,0.40,0.02,0.63,-1.9,-13,7,0.019,0.4,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.6,0.022,-0.0007
2075,10,-8,0.61,0.03,0.61,-1.3,-12,3,0.015,0.3,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.6,0.022,-0.0010
